statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
서여주(양평) 휴게소,ME178061,01,06,경기도 여주시 능서면 중부내륙고속도로 272 (매류리),null,null,37.278818,127.5803924,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155442,20260306163021,20260306163943,,,50,단독,41,41670,C0,C001,Y,,N,,N,,N,2017,1,F,채비
서여주(양평) 휴게소,ME178061,02,06,경기도 여주시 능서면 중부내륙고속도로 272 (매류리),null,null,37.278818,127.5803924,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155433,20260306162027,20260306164432,,,50,단독,41,41670,C0,C001,Y,,N,,N,,N,2017,1,F,채비
괴산(양평) 휴게소,ME178064,01,06,충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리),null,null,36.8315471,127.9599952,24시간 이용가능,ME,환경부,환경부,1661-9408,3,20260307155551,20260307145617,20260307153926,20260307155551,,50,단독,43,43760,C0,C001,Y,,N,,N,,N,2017,1,F,채비
괴산(양평) 휴게소,ME178064,02,06,충청북도 괴산군 장연면 중부내륙고속도로 204 (오가리),null,null,36.8315471,127.9599952,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155406,20260307152747,20260307154104,,,50,단독,43,43760,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠서(양평) 휴게소,ME178065,01,06,경상남도 함안군 칠서면 계룡로 122-1 (계내리),null,null,35.3704567,128.4967833,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155633,20260307094012,20260307102418,,,50,단독,48,48730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
칠서(양평) 휴게소,ME178065,02,06,경상남도 함안군 칠서면 계룡로 122-1 (계내리),null,null,35.3704567,128.4967833,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,2,20260307155456,20260307153305,20260307154905,,,50,단독,48,48730,C0,C001,Y,,N,,N,,N,2017,1,F,채비
하남드림 휴게소,ME178066,01,06,경기도 하남시 중부고속도로 117-1 (천현동),null,null,37.5304600,127.2068880,24시간 이용가능,ME,기후에너지환경부,환경부,1661-9408,3,20260307155643,20260307150907,20260307151726,20260307151846,,50,단독,41,41450,C0,C001,Y,,N,,N,,N,2017,1,F,채비
충주(창원) 휴게소,ME178069,01,06,충청북도 충주시 중앙탑면 중부내륙고속도로 231 (용전리),null,null,37.0219027,127.8379417,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155358,20260306215345,20260306220855,,,50,단독,43,43130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
충주(양평) 휴게소,ME178070,01,06,충청북도 충주시 중앙탑면 중부내륙고속도로 230 (용전리),null,null,37.0235629,127.8390638,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155435,20260307142944,20260307145808,,,50,단독,43,43130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
동명(춘천) 휴게소,ME178072,01,06,경상북도 칠곡군 동명면 중앙고속도로 122 (가천리),null,null,36.0068197,128.5488571,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155304,20260307135938,20260307141103,,,50,단독,47,47850,C0,C001,Y,,N,,N,,N,2017,1,F,채비
원주(부산) 휴게소,ME178073,01,06,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,null,null,37.4345781,127.9292055,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155527,20260307130859,20260307134940,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
원주(부산) 휴게소,ME178073,02,06,강원특별자치도 원주시 호저면 마근거리길 120 (옥산리) 211,null,null,37.4345781,127.9292055,24시간 이용가능,ME,환경부,환경부,1661-9408,2,20260307155525,20260307101055,20260307104319,,,50,단독,51,51130,C0,C001,Y,,N,,N,,N,2017,1,F,채비
